Unnamed: 0,Place Name	,Place ID,Latitude,Longitude,Rating,Types,Google Map
0,ক্যাফে আশা হোটেল এণ্ড রেস্টুরেন্ট	,ChIJh75oS0PDVTcRLElw8Dlq7Jo,23.946962,90.313078,5,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=11163414373424187692
1,বিসমিল্লাহ রেস্টুরেন্ট।,ChIJMURVzFjnVTcRKALccg9ELY8,24.032316,90.269716,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=10316977154517893672
2,ভর্তা ভাত রেস্টুরেন্ট	,ChIJLeJcbjq1VTcRs5ohZU9qJPc,23.754382,90.580345,4,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=17808475715761445555
3,দারুচিনি রেস্টুরেন্ট,ChIJ_Z58aR7JVTcRnZQqnIFLt_k,23.846441,90.491211,4,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=17993933856225006749
4,রব রেস্টুরেন্ট,ChIJ0wxdILX5VDcRfnjP--v9MpU,23.348171,90.705369,0,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=10750934450470615166
5,রিয়ামনি রেস্টুরেন্ট,ChIJtSyetim5VTcREv4-8WYFVEs,23.701128,90.446908,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=5427969390580530706
6,কুটুমবাড়ী হোটেল & রেস্টুরেন্ট।,ChIJTdJ6j0K9VTcRmDE7J9DDTeQ,23.660749,90.359759,4,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=16451020312633094552
7,বরিশাইল্লা হোটেল & রেস্টুরেন্ট,ChIJnfB13s23VTcRJcOSorTc4v0	2,23.696103,90.507166,0,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=18294427304712127269
8,ইকরা হোটেল এন্ড রেস্টুরেন্ট,ChIJRUjVfnzrVTcRRjNst6RTvw4	,23.811098,90.249756,0,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=1062660003999789894
9,Blue sky Restaurants	,ChIJX3XdPvk1VDcRv16Olu8xuD8,23.85282,90.670246,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=4591474725197078207
10,RUPA HOTEL AND RESTAURANTS,ChIJt9wSOAfnVTcRXHt66pKW2vI,23.993651,90.256024,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=17499464859844770652
11,মিতালী হোটেল এন্ড রেস্টুরেন্ট	,ChIJbajZdoovVDcRa_lLP_phiZE,23.984298,90.704334,0,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=10487020934740572523
12,কালাচাঁন হোটেল এন্ড রেস্টুরেন্ট।,ChIJa-IgLlHzVTcRoz4qQ3r73D8,23.809219,90.147726,2.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=4601829421797228195
13,দাওয়াত হোটেল এন্ড রেস্টুরেন্ট,ChIJV2knSQs1VDcRtpQU8SCHxHQ,23.790029,90.655134,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=8413998579388290230
14,Ruchiraj Restaurant	,ChIJeehkRq7EVTcR5O89QlyY-XY,23.945022,90.382939,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=8573050887692218340
15,ভুঁইয়া রেস্টুরেন্ট,ChIJw-zZaJWxVTcRdd4TGQYJ5pc,23.594262,90.503563,4,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=10945445866165755509
16,নিরুপায় হোটেল এন্ড রেস্টুরেন্ট,ChIJN2rcguBUVDcRLdf37OkkyFQ,23.432008,90.617707,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=6109173481649723181
17,রায়হান হোটেল এন্ড রেস্টুরেন্ট,ChIJPUy2Cn_LVTcRCXOdLU8WRpg,23.837087,90.538172,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=10972482071458312969
18,Shororitu Restora	,ChIJWe5QS8K5VTcRuSD7Dz3wjyE,23.703933,90.449347,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=2418415669973033145
19,চড়ুইভাত রেস্টুরেন্ট,ChIJwaYSCBCxVTcRV6_NaAQcQGg,23.636163,90.451632,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=7512034983717744471